자치구,안심 주소,CCTV 용도,위도,경도,CCTV 수량,수정 일시
강남구,[논현1-291] (2) 논현동 142-13_1,방범,37.51076,127.02236,1,2022-06-23
강남구,[일원2-223] 2 개포동 14-5 / 개포로 621 SH공사 건물 앞_0,방범,37.49356,127.07912,1,2022-06-23
강남구,[논현1-291] (4) 논현동 142-13_2,방범,37.51076,127.02236,1,2022-06-23
강남구,[논현1-291] (6) 논현동 142-13_4,방범,37.51076,127.02236,1,2022-06-23
강남구,[개포2-224] 3 개포로402 개포고 후문(173)_,방범,37.48393,127.05922,1,2022-06-23
강남구,[역삼1-296]  3 논현로67길31 (794-4)_,방범,37.4935747,127.037513,1,2022-06-23
강남구,[논현1-291] (8) 논현동 142-13_3,방범,37.51076,127.02236,1,2022-06-23
강남구,[논현1-291] 4 논현동 142-13_0,방범,37.51076,127.02236,1,2022-06-23
강남구,[역삼1-296] (2) 논현로67길31 (794-4)_1,방범,37.4935747,127.037513,1,2022-06-23
강남구,[삼성2-252] (2) 봉은사로68길 17(115-11)_3,방범,37.51077,127.0505,1,2022-06-23
강남구,[삼성2-252] (6) 봉은사로68길 17(115-11)_2,방범,37.51077,127.0505,1,2022-06-23
강남구,[세곡-231] (8) 세곡동(461-10) 은곡마을삼거리_S3 ,방범,37.46712,127.09442,1,2022-06-23
강남구,[도곡2-215] (2) 남부순환로370길21(516-1)_P3,방범,37.4839469,127.0427656,1,2022-06-23
강남구,[역삼1-296] (4) 논현로67길31 (794-4)_3,방범,37.4935747,127.037513,1,2022-06-23
강남구,[삼성2-252] (8) 봉은사로68길 17(115-11)_1,방범,37.51077,127.0505,1,2022-06-23
강남구,[세곡-210] (2) 율현동(253-3)_1,방범,37.47182,127.10621,1,2022-06-23
강남구,[개포4-220] (6) 개포로20길24-7(1230-2)_,방범,37.4769195,127.0475223,1,2022-06-23
강남구,[삼성2-252] 3 봉은사로68길 17(115-11)_0,방범,37.51077,127.0505,1,2022-06-23
강남구,[역삼1-296] (6) 논현로67길31 (794-4)_2,방범,37.4935747,127.037513,1,2022-06-23
강남구,[논현1-283] (2) 논현동154-6_2,방범,37.51078,127.03081,1,2022-06-23
강남구,[논현1-283] (4) 논현동154-6_4,방범,37.51078,127.03081,1,2022-06-23
강남구,[도곡2-215] (4) 남부순환로370길21(516-1)_P1,방범,37.4839469,127.0427656,1,2022-06-23
강남구,[도곡1-260] (2) 도곡동 540_1,방범,37.4936,127.04688,1,2022-06-23
강남구,[논현1-283] (6) 논현동154-6_1,방범,37.51078,127.03081,1,2022-06-23
강남구,[논현1-283] (8) 논현동154-6_3,방범,37.51078,127.03081,1,2022-06-23
강남구,[도곡1-260] (4) 도곡동 540_2,방범,37.4936,127.04688,1,2022-06-23
강남구,[논현1-283] 4 논현동154-6_,방범,37.51078,127.03081,1,2022-06-23
강남구,[논현2-234] 3 봉은사로33길43(224-2)_,방범,37.5108195,127.0346224,1,2022-06-23
강남구,[도곡2-215] (6) 남부순환로370길21(516-1)_P2,방범,37.4839469,127.0427656,1,2022-06-23
강남구,[도곡1-260] (8) 도곡동 540_3,방범,37.4936,127.04688,1,2022-06-23
강남구,[논현2-227] (2) 언주로116길6(275)_4,방범,37.51082,127.03769,1,2022-06-23
강남구,[개포4-220] (8) 개포로20길24-7(1230-2)_,방범,37.4769195,127.0475223,1,2022-06-23
강남구,[논현2-227] (4) 언주로116길6(275)_2,방범,37.51082,127.03769,1,2022-06-23
강남구,[도곡1-260] 3 도곡동 540_0,방범,37.4936,127.04688,1,2022-06-23
강남구,[논현2-227] (6) 언주로116길6(275)_1,방범,37.51082,127.03769,1,2022-06-23
강남구,[논현2-227] (8) 언주로116길6(275)_3,방범,37.51082,127.03769,1,2022-06-23
강남구,[도곡2-215] (8) 남부순환로370길21(516-1)_P4,방범,37.4839469,127.0427656,1,2022-06-23
강남구,[대치2-244] (2) 삼성로154(509-2)_1(어린이),방범,37.4936154,127.0638639,1,2022-06-23
강남구,[논현2-227] 4 언주로116길6(275)_,방범,37.51082,127.03769,1,2022-06-23
강남구,[논현2-218] (2) 논현로120길6(221-1)_3,방범,37.51087,127.03314,1,2022-06-23
강남구,[대치2-244] (8) 삼성로154(509-2)_2(어린이),방범,37.4936154,127.0638639,1,2022-06-23
강남구,[논현2-218] (6) 논현로120길6(221-1)_2,방범,37.51087,127.03314,1,2022-06-23
강남구,[논현2-218] (8) 논현로120길6(221-1)_1,방범,37.51087,127.03314,1,2022-06-23
강남구,[도곡2-215] 4 남부순환로370길21(516-1)_P,방범,37.4839469,127.0427656,1,2022-06-23
강남구,[대치2-244] 2 대치동 509-2 (구민회관어린이집 앞)_,방범,37.4936154,127.0638639,1,2022-06-23
강남구,[논현2-218] 3 논현로120길6(221-1)_,방범,37.51087,127.03314,1,2022-06-23
강남구,[세곡-210] (6) 율현동(253-3)_3,방범,37.47182,127.10621,1,2022-06-23
강남구,[개포4-220] 3 개포로20길24-7(1230-2),방범,37.4769195,127.0475223,1,2022-06-23
강남구,[논현1-239] 강남대로124길65(137-16,방범,37.5108715,127.0269729,1,2022-06-23
강남구,[일원1-205] (2) 일원동 636-8_2,방범,37.4936293,127.0862172,1,2022-06-23
강남구,[논현1-400] (2) 강남대로128길44-4(139-13)_1,방범,37.51088,127.02563,1,2022-06-23
강남구,[논현1-400] (8) 강남대로128길44-4(139-13)_2,방범,37.51088,127.02563,1,2022-06-23
강남구,[개포1-220] (4) 개포로307_개포우성3차A(652)_3,방범,37.48398,127.05731,1,2022-06-23
강남구,[일원1-205] (4) 일원동 636-8_3,방범,37.4936293,127.0862172,1,2022-06-23
강남구,[논현1-400] 2 강남대로128길44-4(139-13)_0,방범,37.51088,127.02563,1,2022-06-23
강남구,[논현1-272] (2) 학동로18길33(133-30)_1,방범,37.5109,127.02844,1,2022-06-23
강남구,[일원1-205] (8) 일원동 636-8_1,방범,37.4936293,127.0862172,1,2022-06-23
강남구,[논현1-272] (4) 학동로18길33(133-30)_3,방범,37.5109,127.02844,1,2022-06-23
강남구,[논현1-272] (6) 학동로18길33(133-30)_4,방범,37.5109,127.02844,1,2022-06-23
강남구,[개포1-220] (6) 개포로307_개포우성3차A(652)_2,방범,37.48398,127.05731,1,2022-06-23
강남구,[일원1-205] 3 강남구 일원동 636-8_0,방범,37.4936293,127.0862172,1,2022-06-23
강남구,[논현1-272] (8) 학동로18길33(133-30)_2,방범,37.5109,127.02844,1,2022-06-23
강남구,[개포4-261] (2) 개포로28길 36(1202-6)_2,방범,37.47708,127.05074,1,2022-06-23
강남구,[논현1-272] 4 학동로18길33 (133-30)_,방범,37.5109,127.02844,1,2022-06-23
강남구,[일원1-250] (4) 일원동 635-5_1,방범,37.49367,127.0851,1,2022-06-23
강남구,[삼성2-227] (2) 봉은사로434(113-8)_3,방범,37.5109065,127.0476633,1,2022-06-23
강남구,[삼성2-227] (6) 봉은사로434(113-8)_2,방범,37.5109065,127.0476633,1,2022-06-23
강남구,[개포1-220] (8) 개포로307_개포우성3차A(652)_1,방범,37.48398,127.05731,1,2022-06-23
강남구,[일원1-250] (6) 일원동 635-5_2,방범,37.49367,127.0851,1,2022-06-23
강남구,[삼성2-227] (8) 봉은사로434(113-8)_1,방범,37.5109065,127.0476633,1,2022-06-23
강남구,[삼성2-227] 3 봉은사로434(113-8),방범,37.5109065,127.0476633,1,2022-06-23
강남구,[일원1-250] 2 일원동 635-5_0,방범,37.49367,127.0851,1,2022-06-23
강남구,[삼성2-289] (4) 선릉로108길63(114-37)_1,방범,37.51094483,127.0492945,1,2022-06-23
강남구,[수서-238] 3 수서역2번출구(201-5)_,방범,37.487663,127.101313,1,2022-06-23
